epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,29,,,0.7979406714439392,0.7979406714439392
0,29,0.9978466629981995,,,
1,49,,1.0237393379211426,,
1,59,,,0.771623432636261,0.771623432636261
1,59,0.9908433556556702,,,
2,89,,,0.771162748336792,0.771162748336792
2,89,0.9921671748161316,,,
3,99,,1.2652301788330078,,
3,119,,,0.7607666254043579,0.7607666254043579
3,119,0.97037672996521,,,
4,149,,0.3894289433956146,,
4,149,,,0.6980933547019958,0.6980933547019958
4,149,0.9245593547821045,,,
5,179,,,0.7195414900779724,0.7195414900779724
5,179,0.958597719669342,,,
6,199,,0.48580849170684814,,
6,209,,,0.6842136383056641,0.6842136383056641
6,209,0.9045614004135132,,,
7,239,,,0.6785984039306641,0.6785985231399536
7,239,0.8990340828895569,,,
8,249,,0.30232158303260803,,
8,269,,,0.6872608661651611,0.6872608661651611
8,269,0.8411948084831238,,,
9,299,,1.345014214515686,,
9,299,,,0.7145472168922424,0.7145472168922424
9,299,0.8283660411834717,,,
10,329,,,0.6255208253860474,0.6255208253860474
10,329,0.785542905330658,,,
11,349,,0.3785248398780823,,
11,359,,,0.6198118925094604,0.6198118925094604
11,359,0.7433751821517944,,,
12,389,,,0.7071735858917236,0.7071734666824341
12,389,0.7321816682815552,,,
13,399,,0.34265992045402527,,
13,419,,,0.631493091583252,0.631493091583252
13,419,0.7177447080612183,,,
14,449,,1.1617743968963623,,
14,449,,,0.7096900939941406,0.7096900939941406
14,449,0.6739357113838196,,,
15,479,,,0.6858985424041748,0.6858985424041748
15,479,0.6666110157966614,,,
16,499,,0.5144424438476562,,
16,509,,,0.631706953048706,0.631706953048706
16,509,0.6357062458992004,,,
17,539,,,0.6283086538314819,0.6283086538314819
17,539,0.627964437007904,,,
18,549,,0.9425019025802612,,
18,569,,,0.6382538676261902,0.6382538080215454
18,569,0.628667414188385,,,
19,599,,0.2703990340232849,,
19,599,,,0.600978672504425,0.600978672504425
19,599,0.6038453578948975,,,
20,629,,,0.5933629274368286,0.5933629274368286
20,629,0.5844104290008545,,,
21,649,,0.39750850200653076,,
21,659,,,0.6382169723510742,0.6382169723510742
21,659,0.5819012522697449,,,
22,689,,,0.6155945658683777,0.6155945658683777
22,689,0.5621046423912048,,,
23,699,,0.6987094879150391,,
23,719,,,0.6158016324043274,0.6158016324043274
23,719,0.5629775524139404,,,
24,749,,0.13273511826992035,,
24,749,,,0.6580901741981506,0.6580901145935059
24,749,0.5445358753204346,,,
25,779,,,0.6392526030540466,0.6392526030540466
25,779,0.5312546491622925,,,
26,799,,0.22239995002746582,,
26,809,,,0.5953529477119446,0.5953529477119446
26,809,0.5364238023757935,,,
27,839,,,0.6217294335365295,0.6217294335365295
27,839,0.5161145329475403,,,
28,849,,0.449789434671402,,
28,869,,,0.6516499519348145,0.6516499519348145
28,869,0.5103850960731506,,,
29,899,,0.9112286567687988,,
29,899,,,0.5695641040802002,0.5695641040802002
29,899,0.4940182566642761,,,
30,929,,,0.5662350654602051,0.5662350654602051
30,929,0.49418529868125916,,,
31,949,,0.4862721562385559,,
31,959,,,0.570449948310852,0.570449948310852
31,959,0.4862534999847412,,,
32,989,,,0.6219303011894226,0.6219303607940674
32,989,0.48126551508903503,,,
33,999,,1.413351058959961,,
33,1019,,,0.6291518211364746,0.6291518211364746
33,1019,0.46676620841026306,,,
34,1049,,0.15713803470134735,,
34,1049,,,0.610456109046936,0.610456109046936
34,1049,0.46558305621147156,,,
35,1079,,,0.5607181191444397,0.5607181191444397
35,1079,0.47179192304611206,,,
36,1099,,0.8263251781463623,,
36,1109,,,0.5938515663146973,0.5938515663146973
36,1109,0.4531528353691101,,,
37,1139,,,0.6212285161018372,0.6212285757064819
37,1139,0.4570804834365845,,,
38,1149,,0.3596276342868805,,
38,1169,,,0.6081838607788086,0.6081839203834534
38,1169,0.44890299439430237,,,
39,1199,,0.19776807725429535,,
39,1199,,,0.632260262966156,0.632260262966156
39,1199,0.4541592299938202,,,
40,1229,,,0.5573735237121582,0.5573735237121582
40,1229,0.4400741159915924,,,
41,1249,,0.41802892088890076,,
41,1259,,,0.5694897174835205,0.5694897174835205
41,1259,0.4338088035583496,,,
42,1289,,,0.6022449731826782,0.6022449731826782
42,1289,0.42569777369499207,,,
43,1299,,0.6339816451072693,,
43,1319,,,0.5674960017204285,0.5674960017204285
43,1319,0.4365503191947937,,,
44,1349,,0.4342285394668579,,
44,1349,,,0.6000574231147766,0.6000574231147766
44,1349,0.42074036598205566,,,
45,1379,,,0.5985209345817566,0.5985208749771118
45,1379,0.4183623492717743,,,
46,1399,,0.3447580635547638,,
46,1409,,,0.5959963798522949,0.5959963798522949
46,1409,0.4120832085609436,,,
47,1439,,,0.6363686323165894,0.6363686919212341
47,1439,0.41104406118392944,,,
48,1449,,0.5173539519309998,,
48,1469,,,0.581439733505249,0.581439733505249
48,1469,0.41706976294517517,,,
49,1499,,0.2480950951576233,,
49,1499,,,0.5748746395111084,0.5748745799064636
49,1499,0.4012407660484314,,,
